year,citations,title,authors,venue,doi,openalex_id,type,query
2010,1511,Why Do Management Practices Differ across Firms and Countries?,Nicholas Bloom; John Van Reenen,The Journal of Economic Perspectives,10.1257/jep.24.1.203,W2164505476,article,mobile money cash transfer delivery costs governance developing countries
2021,1475,Impact of COVID-19 pandemic on utilisation of healthcare services: a systematic review,Ray Moynihan; Sharon Sanders; Zoe A Michaleff; Anna Mae Scott; Justin Clark; Emma J To,BMJ Open,10.1136/bmjopen-2020-045343,W3136312839,review,Ontario basic income pilot cancellation
2023,1329,Generative AI,Stefan Feuerriegel; Jochen Hartmann; Christian Janiesch; Patrick Zschech,Business & Information Systems Engineering,10.1007/s12599-023-00834-7,W4386693657,article,generative AI at work call center productivity Brynjolfsson
2007,1300,Transportation Costs and International Trade in the Second Era of Globalization,David Hummels,The Journal of Economic Perspectives,10.1257/jep.21.3.131,W1996537770,article,power and productivity in era of automation under new deal
2003,1202,"Health, Inequality, and Economic Development",Angus Deaton,Journal of Economic Literature,10.1257/002205103321544710,W3122017348,article,Inequality What Can Be Done Atkinson participation income
2017,1034,"Smart Technology, Artificial Intelligence, Robotics, and Algorithms (STARA): Employees’ perceptions of our future workplace",David Brougham; Jarrod Haar,Journal of Management & Organization,10.1017/jmo.2016.55,W2580712957,article,future of employment computerisation susceptible Frey Osborne
2022,996,Artificial Intelligence and Jobs: Evidence from Online Vacancies,Daron Acemoğlu; David Autor; Jonathon Hazell; Pascual Restrepo,Journal of Labor Economics,10.1086/718327,W4224990248,article,Robots and Jobs Evidence from US Labor Markets Acemoglu Restrepo
1999,941,"Information Technology, Workplace Organization and the Demand for Skilled Labor: Firm-Level Evidence",Timothy F. Bresnahan; Erik Brynjolfsson; Lorin M. Hitt,National Bureau of Economic Research,10.3386/w7136,W2168750112,report,relative demand negative effects technology structure employment tasks
2017,940,"Wellbeing, Freedom and Social Justice",Ingrid Robeyns,Open Book Publishers,10.11647/obp.0130,W2769436221,reference-entry,Real Freedom for All what if just pay
2023,938,Generative AI at Work,Erik Brynjolfsson; Danielle Li; Lindsey Raymond,National Bureau of Economic Research,10.3386/w31161,W4366817968,report,generative AI at work call center productivity Brynjolfsson
2017,910,Robots and Jobs: Evidence from US Labor Markets,Daron Acemoğlu; Pascual Restrepo,National Bureau of Economic Research,10.3386/w23285,W2599934248,report,Robots and Jobs Evidence from US Labor Markets Acemoglu Restrepo
2019,882,"Automation, Algorithms, and Beyond: Why Work Design Matters More Than Ever in a Digital World",Sharon K. Parker; Gudela Grote,Applied Psychology,10.1111/apps.12241,W2998691503,article,risk of automation OECD jobs Arntz Gregory Zierahn
2023,861,Human resource management in the age of generative artificial intelligence: Perspectives and research directions on ChatGPT,Pawan Budhwar; Soumyadeb Chowdhury; Geoffrey Wood; Herman Aguinis; Greg J. Bamber; Jose R. Beltran,Human Resource Management Journal,10.1111/1748-8583.12524,W4383913712,article,generative AI at work call center productivity Brynjolfsson
2016,845,The Risk of Automation for Jobs in OECD Countries,Melanie Arntz; Terry Gregory; Ulrich Zierahn,OECD social employment and migration working papers,10.1787/5jlz9h56dvq7-en,W2372356850,report,future of employment computerisation susceptible Frey Osborne
2007,844,"Good Capitalism, Bad Capitalism, and the Economics of Growth and Prosperity",William J. Baumöl; Robert E. Litan; Carl J. Schramm,SSRN Electronic Journal,10.2139/ssrn.985843,W1552718068,preprint,negative income tax Friedman capitalism freedom
2013,842,The Top 1 Percent in International and Historical Perspective,Facundo Alvaredo; Anthony B. Atkinson; Thomas Piketty; Emmanuel Saez,The Journal of Economic Perspectives,10.1257/jep.27.3.3,W2142202291,article,universal basic income inflation prices general equilibrium village
2014,832,Geographic Imbalances in Doctor Supply and Policy Responses,Tomoko Ono; Michael Schoenstein; James Buchan,OECD health working papers,10.1787/5jz5sq5ls1wl-en,W2109713734,report,OECD basic income as a policy option can it work
2021,819,"Adaptation interventions and their effect on vulnerability in developing countries: Help, hindrance or irrelevance?",Siri Eriksen; E. Lisa F. Schipper; Morgan Scoville-Simonds; Katharine Vincent; Hans Nicolai Adam; Nick Brooks,World Development,10.1016/j.worlddev.2020.105383,W3124610766,article,mobile money cash transfer delivery costs governance developing countries
2024,805,"A Review on Large Language Models: Architectures, Applications, Taxonomies, Open Issues and Challenges",Mohaimenul Azam Khan Raiaan; Md. Saddam Hossain Mukta; Kaniz Fatema; Nur Mohammad Fahad; Sadman Sakib; Most. Marufatul Jannat Mim,IEEE Access,10.1109/access.2024.3365742,W4391855109,article,GPTs are GPTs large language models labor market exposure
2020,803,"Fintech, financial inclusion and income inequality: a quantile regression approach",Ayse Demir; Vanesa Pesqué‐Cela; Yener Altunbaş; Victor Murinde,European Journal of Finance,10.1080/1351847x.2020.1772335,W3031910649,article,M-Pesa financial inclusion poverty Suri Jack mobile money
2017,780,What is data justice? The case for connecting digital rights and freedoms globally,Linnet Taylor,Big Data & Society,10.1177/2053951717736335,W2590124083,article,Real Freedom for All what if just pay
2017,767,Artificial Intelligence and the Modern Productivity Paradox: A Clash of Expectations and Statistics,Erik Brynjolfsson; Daniel Rock; Chad Syverson,National Bureau of Economic Research,10.3386/w24001,W2767568774,report,power and productivity in era of automation under new deal
2020,730,The Economic Impacts of COVID-19: Evidence from a New Public Database Built Using Private Sector Data,Raj Chetty; John N. Friedman; Michael Stepner; The Opportunity Insights Team,National Bureau of Economic Research,10.3386/w27431,W3113376803,report,digital payments government transfers COVID last mile evidence
2011,715,Mobile Money: The Economics of M-PESA,William Jack; Tavneet Suri,National Bureau of Economic Research,10.3386/w16721,W2117956034,report,M-Pesa financial inclusion poverty Suri Jack mobile money
2020,710,Declining Labor and Capital Shares,Simcha Barkai,The Journal of Finance,10.1111/jofi.12909,W3005839772,article,global inequality of labor income share capital Karabarbounis Neiman
1999,702,Income inequality and health: pathways and mechanisms.,Ichiro Kawachi; Bruce P. Kennedy,PubMed,,W1538388721,article,Inequality What Can Be Done Atkinson participation income
2013,694,Inequalities in non-communicable diseases and effective responses,Mariachiara Di Cesare; Young‐Ho Khang; Perviz Asaria; Tony Blakely; Melanie Cowan; Farshad Farzadfar,The Lancet,10.1016/s0140-6736(12)61851-0,W1965340883,article,Inequality What Can Be Done Atkinson participation income
2022,685,Taxonomy of Risks posed by Language Models,Laura Weidinger; Jonathan Uesato; Maribeth Rauh; Conor Griffin; Po-Sen Huang; John Mellor,"2022 ACM Conference on Fairness, Accountability, and Transparency",10.1145/3531146.3533088,W4283170666,conference-paper,GPTs are GPTs large language models labor market exposure
2020,684,Does financial inclusion reduce poverty and income inequality in developing countries? A panel data analysis,Md Abdullah Omar; Kazuo Inaba,Journal of Economic Structures,10.1186/s40008-020-00214-4,W3023059212,article,mobile money cash transfer delivery costs governance developing countries
2003,682,The Demographic Dividend: A New Perspective on the Economic Consequences of Population Change,David E. Bloom; David Canning; Jaypee Sevilla,RAND Corporation eBooks,10.7249/mr1274,W4301772042,book,Progress and Poverty Henry George land dividend
2019,663,"Entrepreneurship and well-being: Past, present, and future",Johan Wiklund; Boris Nikolaev; Nadav Shir; Maw‐Der Foo; Steve Bradley,Journal of Business Venturing,10.1016/j.jbusvent.2019.01.002,W2912669628,article,future of employment computerisation susceptible Frey Osborne
2005,662,Horizontal Inequalities: A Neglected Dimension of Development,Frances Stewart,Palgrave Macmillan UK eBooks,10.1057/9780230501850_5,W1910177458,book-chapter,Inequality What Can Be Done Atkinson participation income
2013,660,The Decline of the U.S. Labor Share,Michael Elsby; Bart Hobijn; Ayşegül Şahin,Brookings Papers on Economic Activity,10.1353/eca.2013.0016,W2104890410,article,global inequality of labor income share capital Karabarbounis Neiman
2014,599,Financial burden for tuberculosis patients in low- and middle-income countries: a systematic review,Tadayuki Tanimura; Ernesto Jaramillo; Diana Weil; Mario Raviǵlione; Knut Lönnroth,European Respiratory Journal,10.1183/09031936.00193413,W2107112569,review,financing social protection floors ILO cost
2017,592,Basic Income,Philippe Van Parijs; Yannick Vanderborght,Harvard University Press eBooks,10.4159/9780674978072,W4249308963,book,Basic Income a radical proposal Van Parijs
1999,575,The Retirement Decision in OECD Countries,Sveinbjörn Blöndal; Stéfano Scarpetta,OECD Economics Department working papers,10.1787/565174210530,W2141546176,report,OECD basic income as a policy option can it work
2019,561,New frontiers for the materials genome initiative,Juan Pablo; Nicholas E. Jackson; Michael A. Webb; Long‐Qing Chen; Joel E. Moore; Dane Morgan,npj Computational Materials,10.1038/s41524-019-0173-4,W2929465105,article,weaving automation skill complementary tasks global perspective Webb
2006,556,Using Randomization in Development Economics Research: A Toolkit,Esther Duflo; Rachel Glennerster; Michael Kremer,National Bureau of Economic Research,10.3386/t0333,W1568247155,report,universal basic income inflation prices general equilibrium village
2023,549,GPTs are GPTs: An Early Look at the Labor Market Impact Potential of Large Language Models,Tyna Eloundou; Sam Manning; Pamela Mishkin; Daniel L. Rock,RePEc: Research Papers in Economics,10.48550/arxiv.2303.10130,W4330336443,preprint,Robots and Jobs Evidence from US Labor Markets Acemoglu Restrepo
2023,542,Generative artificial intelligence,Leonardo Banh; Gero Strobel,Electronic Markets,10.1007/s12525-023-00680-1,W4389359039,article,generative AI at work call center productivity Brynjolfsson
2021,537,The Adjustment of Labor Markets to Robots,Wolfgang Dauth; Sebastian Findeisen; Jens Suedekum; Nicole Woessner,Journal of the European Economic Association,10.1093/jeea/jvab012,W3136584698,article,Robots and Jobs Evidence from US Labor Markets Acemoglu Restrepo
2019,511,Artificial intelligence and big data in entrepreneurship: a new era has begun,Martin Obschonka; David B. Audretsch,Small Business Economics,10.1007/s11187-019-00202-4,W2947746147,article,power and productivity in era of automation under new deal
2021,498,The impact of 5G on the evolution of intelligent automation and industry digitization,Mohsen Attaran,Journal of Ambient Intelligence and Humanized Computing,10.1007/s12652-020-02521-x,W3129311377,article,power and productivity in era of automation under new deal
2021,492,Disruptions and resilience in global container shipping and ports: the COVID-19 pandemic versus the 2008–2009 financial crisis,Theo Notteboom; Thanos Pallis; Jean‐Paul Rodrigue,Maritime Economics & Logistics,10.1057/s41278-020-00180-5,W3120887917,article,digital payments government transfers COVID last mile evidence
2004,489,Transformative social protection,Stephen Devereux; Rachel Sabates‐Wheeler,OpenDocs (Institute of Development Studies),,W19008363,article,universal basic income proposals ILO standards Ortiz
2017,484,Concentrating on the Fall of the Labor Share,David Autor; David Dorn; Lawrence F. Katz; Christina Patterson; John Van Reenen,American Economic Review,10.1257/aer.p20171102,W2585432763,article,fall of labor share rise of superstar firms Autor Dorn Katz
2019,479,The Organizational Reproduction of Inequality,John Amis; Johanna Mair; Kamal A. Munir,Academy of Management Annals,10.5465/annals.2017.0033,W2989347311,article,Inequality What Can Be Done Atkinson participation income
2020,477,Working from home and income inequality: risks of a ‘new normal’ with COVID-19,Luca Bonacini; Giovanni Gallo; Sergio Scicchitano,Journal of Population Economics,10.1007/s00148-020-00800-7,W3084503872,article,Inequality What Can Be Done Atkinson participation income
2016,473,Building State Capacity: Evidence from Biometric Smartcards in India,Karthik Muralidharan; Paul Niehaus; Sandip Sukhtankar,American Economic Review,10.1257/aer.20141346,W1543347785,article,biometric smartcards leakage Muralidharan Niehaus Sukhtankar
2007,470,Economic freedom and entrepreneurial activity: Some cross-country evidence,Christian Bjørnskov; Nicolai J. Foss,Public Choice,10.1007/s11127-007-9229-y,W2152349617,article,negative income tax Friedman capitalism freedom
2013,469,The effect of income and immigration policies on international migration,Francesc Ortega; Giovanni Peri,Migration Studies,10.1093/migration/mns004,W2099240809,article,OECD basic income as a policy option can it work
2019,463,Is this time different? How digitalization influences job creation and destruction,Benjamin Balsmeier; Martin Woerter,Research Policy,10.1016/j.respol.2019.03.010,W2937764832,article,risk of automation OECD jobs Arntz Gregory Zierahn
2020,423,Using publicly available satellite imagery and deep learning to understand economic well-being in Africa,Christopher Yeh; Anthony Perez; Anne Driscoll; George Azzari; Zhongyi Tang; David B. Lobell,Nature Communications,10.1038/s41467-020-16185-w,W3027716283,article,machine learning satellite poverty targeting cash transfers Blumenstock
2004,422,Urban Sprawl,Thomas J. Nechyba; Randall Walsh,The Journal of Economic Perspectives,10.1257/0895330042632681,W4231646436,article,Progress and Poverty Henry George land dividend
2024,410,Generative artificial intelligence in supply chain and operations management: a capability-based framework for analysis and implementation,Ilya Jackson; Dmitry Ivanov; Alexandre Dolgui; Jafar Namdar,International Journal of Production Research,10.1080/00207543.2024.2309309,W4391403992,article,jagged technological frontier field experimental evidence consultants generative AI
2018,409,"Is Automation Labor-Displacing? Productivity Growth, Employment, and the Labor Share",David Autor; Anna Salomons,National Bureau of Economic Research,10.3386/w24871,W3121167745,report,robots and jobs manufacturing labor share Graetz Michaels productivity
2019,405,A Systematic Review of Studies on Educational Robotics,Saira Anwar; Nicholas Alexander Bascou; Muhsin Menekşe; Asefeh Kardgar,Journal of Pre-College Engineering Education Research (J-PEER),10.7771/2157-9288.1223,W2959902542,review,weaving automation skill complementary tasks global perspective Webb
2015,396,State Capacity and Economic Development: A Network Approach,Daron Acemoğlu; Camilo García-Jimeno; James A. Robinson,American Economic Review,10.1257/aer.20140044,W3122694662,article,state capacity fiscal capacity development Besley Persson
2018,387,"Taking account of context in population health intervention research: guidance for producers, users and funders of research",Peter Craig; Erica Di Ruggiero; Katherine L. Frohlich; Eric Mykhalovskiy; Martin White; Rona Campbell,,10.3310/cihr-nihr-01,W2802302644,report,The Town with No Poverty health Mincome Manitoba Forget
2016,387,Deciphering the Fall and Rise in the Net Capital Share: Accumulation or Scarcity?,Matthew Rognlie,Brookings Papers on Economic Activity,10.1353/eca.2016.0002,W2303461539,article,global inequality of labor income share capital Karabarbounis Neiman
2019,387,Financial inclusion and its impact on financial efficiency and sustainability: Empirical evidence from Asia,Thai‐Ha Le; Anh Tu Chuc; Farhad Taghizadeh–Hesary,Borsa Istanbul Review,10.1016/j.bir.2019.07.002,W2959352652,article,Global Findex database financial inclusion unbanked adults Demirguc-Kunt
2018,380,"Is Automation Labor Share-Displacing? Productivity Growth, Employment, and the Labor Share",David Autor; David Autor; Anna Salomons; Anna Salomons,Brookings Papers on Economic Activity,10.1353/eca.2018.0000,W2800390578,article,robots and jobs manufacturing labor share Graetz Michaels productivity
2015,361,Social Impact Assessment: Guidance for assessing and managing the social impacts of projects,Frank Vanclay; Ana Maria Esteves; Ilse Aucamp; Daniel M. Franks,University of Groningen research database (University of Groningen / Centre for Information Technology),,W369508705,book,financing social protection floors ILO cost
2020,361,Digital Transition by COVID‐19 Pandemic? The German Food Online Retail,Peter Dannenberg; Martina Fuchs; Tim Riedler; Cathrin Wiedemann,Tijdschrift voor Economische en Sociale Geografie,10.1111/tesg.12453,W3036422679,article,digital payments government transfers COVID last mile evidence
2017,356,Mobile financial services and financial inclusion: Is it a boon for savings mobilization?,Shem Alfred Ouma; Teresa Maureen Odongo; Maureen Were,Review of Development Finance,10.1016/j.rdf.2017.01.001,W2592924460,article,Global Findex database financial inclusion unbanked adults Demirguc-Kunt
2011,350,Mobile Banking: The Impact of M-Pesa in Kenya,Isaac Mbiti; David Weil,National Bureau of Economic Research,10.3386/w17129,W1520534012,report,M-Pesa financial inclusion poverty Suri Jack mobile money
2024,346,The impact of generative artificial intelligence on socioeconomic inequalities and policy making,Valerio Capraro; Austin Lentsch; Daron Acemoğlu; Selin Akgün; Aisel Akhmedova; Ennio Bilancini,PNAS Nexus,10.1093/pnasnexus/pgae191,W4399518864,article,Navigating jagged frontier professional tasks generative AI Noy Zhang writing
2017,343,"From Proof of Concept to Scalable Policies: Challenges and Solutions, with an Application",Abhijit Banerjee; Rukmini Banerji; James Berry; Esther Duflo; Harini Kannan; Shobhini Mukerji,The Journal of Economic Perspectives,10.1257/jep.31.4.73,W2554266731,article,biometric smartcards leakage Muralidharan Niehaus Sukhtankar
2017,332,Labor Markets and Poverty in Village Economies*,Oriana Bandiera; Robin Burgess; Narayan Das; Selim Gulesci; Imran Rasul; Munshi Sulaiman,The Quarterly Journal of Economics,10.1093/qje/qjx003,W2473114756,article,Debunking stereotype lazy welfare recipient cash transfers labor supply
2019,317,Mobile phones for financial inclusion: What explains the diffusion of mobile money innovations?,Addisu A. Lashitew; Rob van Tulder; Yann Liasse,Research Policy,10.1016/j.respol.2018.12.010,W2912553045,article,Global Findex database financial inclusion unbanked adults Demirguc-Kunt
2012,309,Financial Inclusion in Africa: An Overview,Asli Demirgüç-Kunt; Leora Klapper,"World Bank, Washington, DC eBooks",10.1596/1813-9450-6088,W1565901470,report,Global Findex database financial inclusion unbanked adults Demirguc-Kunt
2018,293,Universal Basic Incomes versus Targeted Transfers: Anti-Poverty Programs in Developing Countries,Rema Hanna; Benjamin Olken,The Journal of Economic Perspectives,10.1257/jep.32.4.201,W2888797381,article,Iran subsidy reform cash transfers labor Salehi-Isfahani
2000,287,Rethinking Multiple Equilibria in Macroeconomic Modeling,Stephen Morris; Hyun Song Shin,NBER Macroeconomics Annual,10.1162/08893360052390301,W2614148263,article,simple macroeconomics of AI Acemoglu
2021,277,"Integrating Digital Technologies and Public Health to Fight Covid-19 Pandemic: Key Technologies, Applications, Challenges and Outlook of Digital Healthcare",Qiang Wang; Min Su; Min Zhang; Rongrong Li,International Journal of Environmental Research and Public Health,10.3390/ijerph18116053,W3167574177,article,digital payments government transfers COVID last mile evidence
2024,276,The Crowdless Future? Generative AI and Creative Problem-Solving,Léonard Boussioux; Jacqueline N. Lane; Miaomiao Zhang; Vladimir Jaćimović; Karim R. Lakhani,Organization Science,10.1287/orsc.2023.18430,W4401533174,article,generative AI at work call center productivity Brynjolfsson
2016,266,"The Effect of Cash, Vouchers, and Food Transfers on Intimate Partner Violence: Evidence from a Randomized Experiment in Northern Ecuador",Mélissa Hidrobo; Amber Peterman; Lori Heise,American Economic Journal Applied Economics,10.1257/app.20150048,W2463814468,article,GiveDirectly long-term effects large unconditional cash transfers
2020,266,"MOBILE MONEY, FINANCIAL INCLUSION AND DEVELOPMENT: A REVIEW WITH REFERENCE TO AFRICAN EXPERIENCE",Ahmad Hassan Ahmad; Christopher Green; Fei Jiang,Journal of Economic Surveys,10.1111/joes.12372,W3031373263,article,M-Pesa financial inclusion poverty Suri Jack mobile money
2014,264,State Capacity and Long‐Run Economic Performance,Mark Dincecco; Gabriel Katz,The Economic Journal,10.1111/ecoj.12161,W3124514489,article,state capacity fiscal capacity development Besley Persson
2022,261,Employment 5.0: The work of the future and the future of work,Oluwaseun Kolade; Adebowale Owoseni,Technology in Society,10.1016/j.techsoc.2022.102086,W4292822289,article,future of employment computerisation susceptible Frey Osborne
2020,257,The COVID-19 Pandemic and Internal Labour Migration in India: A ‘Crisis of Mobility’,S. Irudaya Rajan; Palanimuthu Thangaraju Sivakumar; Aditya Srinivasan,Indian Journal of Labour Economics,10.1007/s41027-020-00293-8,W3099231115,article,Aadhaar exclusion welfare beneficiaries Khera Dreze right to die
2011,253,Social Protection in Sub-Saharan Africa: Getting the Politics Right,Miguel Niño‐Zarazúa; Armando Barrientos; Samuel Hickey; David Hulme,World Development,10.1016/j.worlddev.2011.04.004,W2121463508,article,financing social protection floors ILO cost
2019,250,Universal Basic Income in the United States and Advanced Countries,Hilary Hoynes; Jesse Rothstein,Annual Review of Economics,10.1146/annurev-economics-080218-030237,W2969349409,article,Basic Income a radical proposal Van Parijs
2017,242,The future of skills: employment in 2030,Hasan Bakhshi; Jonathan M. Downing; Michael A. Osborne; Philippe Schneider,Oxford University Research Archive (ORA) (University of Oxford),,W2894904181,report,future of employment computerisation susceptible Frey Osborne
2024,235,The simple macroeconomics of AI,Daron Acemoğlu,Economic Policy,10.1093/epolic/eiae042,W4401405116,article,simple macroeconomics of AI Acemoglu
2016,234,State and Development: The Need for a Reappraisal of the Current Literature,Pranab Bardhan,Journal of Economic Literature,10.1257/jel.20151239,W2520918403,article,universal basic income versus targeted transfers state capacity Hanna Olken
2020,232,Exponential Disruptive Technologies and the Required Skills of Industry 4.0,Ocident Bongomin; Gilbert Gilibrays Ocen; Eric Oyondi Nganyi; Musinguzi Alex; Timothy Omara,Journal of Engineering,10.1155/2020/4280156,W3005310579,article,weaving automation skill complementary tasks global perspective Webb
2012,229,"Identifying the Disadvantaged: Official Poverty, Consumption Poverty, and the New Supplemental Poverty Measure",Bruce Meyer; James X. Sullivan,The Journal of Economic Perspectives,10.1257/jep.26.3.111,W1969473321,article,child tax credit monthly payments poverty employment 2021
2009,223,OECD Health Policy Studies,"Brito Fernandes, O.R.; Valente Cardoso Dias Carvalho Pais Silva, A.S.; Klazinga, N.S.",OECD health policy studies,10.1787/2074319x,W2623741689,paratext,Ontario basic income pilot cancellation
2017,216,Automation: is it really different this time?,Judy Wajcman,British Journal of Sociology,10.1111/1468-4446.12239,W2597345357,article,risk of automation OECD jobs Arntz Gregory Zierahn
2016,215,Self-Targeting: Evidence from a Field Experiment in Indonesia,Vivi Alatas; Abhijit Banerjee; Rema Hanna; Benjamin Olken; Ririn Purnamasari; Matthew Wai‐Poi,Journal of Political Economy,10.1086/685299,W2297629598,article,proxy means testing targeting errors Alatas Indonesia
2015,213,Financial inclusion: Policies and practices,Thankom Arun; Rajalaxmi Kamath,IIMB Management Review,10.1016/j.iimb.2015.09.004,W2207027976,article,Global Findex database financial inclusion unbanked adults Demirguc-Kunt
2013,210,"The State of State Capacity : a review of concepts, evidence and measures",Luciana Cingolani,RePEc: Research Papers in Economics,,W1993618098,review,state capacity fiscal capacity development Besley Persson
2019,195,Universal Basic Income in the Developing World,Abhijit Banerjee; Paul Niehaus; Tavneet Suri,Annual Review of Economics,10.1146/annurev-economics-080218-030229,W3123452675,article,Namibia basic income grant Otjivero evaluation
2022,189,Machine learning and phone data can improve targeting of humanitarian aid,Emily Aiken; Suzanne Bellue; Dean Karlan; Christopher Udry; Joshua Blumenstock,Nature,10.1038/s41586-022-04484-9,W4220883946,article,machine learning satellite poverty targeting cash transfers Blumenstock
2021,189,Capabilities of digital servitization: Evidence from the socio-technical systems theory,Christopher Münch; Emanuel Marx; Lukas Benz; Evi Hartmann; Martin Matzner,Technological Forecasting and Social Change,10.1016/j.techfore.2021.121361,W4200385823,article,digital payments government transfers COVID last mile evidence
2024,187,Gen-AI,Mauro Cazzaniga; Florence Jaumotte; Longji Li; Giovanni Melina; Augustus Panton; Carlo Pizzinelli,IMF staff discussion note,10.5089/9798400262548.006,W4390907087,article,simple macroeconomics of AI Acemoglu
2015,186,"Price Subsidies, Diagnostic Tests, and Targeting of Malaria Treatment: Evidence from a Randomized Controlled Trial",Jessica Cohen; Pascaline Dupas; Simone Schaner,American Economic Review,10.1257/aer.20130267,W2026723594,article,proxy means testing targeting errors Alatas Indonesia
2020,184,"State Capacity, Reciprocity, and the Social Contract",Timothy Besley,Econometrica,10.3982/ecta16863,W2995446122,article,state capacity fiscal capacity development Besley Persson
2022,183,First lessons from government evaluations of COVID-19 responses: A synthesis,OECD,OECD policy responses to coronavirus (Covid-19),10.1787/483507d6-en,W4206936597,report,unemployment insurance fraud COVID improper payments GAO
